City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,San Ramon,US,66.42,clear sky,37.7799,-121.978,San Ramon Marriott
359,Portachuelo,BO,83.88,broken clouds,-17.35,-63.4,MOTEL
360,Kimbe,PG,83.44,light rain,-5.5502,150.1429,Kimbe Bay Hotel
361,Pangkalanbuun,ID,73.38,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
363,Palu,ID,75.88,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
365,Sarangani,PH,80.67,overcast clouds,5.4033,125.4636,Ballistic Islet
366,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
369,San Carlos De Bariloche,AR,65.95,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
372,Manadhoo,MV,81.46,broken clouds,5.7667,73.3833,Bon Abri maldives
373,Woodland,US,68.05,clear sky,38.6785,-121.7733,Hampton Inn & Suites Woodland-Sacramento Area
377,Bambari,CF,77.88,broken clouds,5.768,20.6757,Hotel-Restaurant BIBICH
379,Innisfail,AU,78.46,light rain,-17.5333,146.0333,Moondarra Motel
380,Antofagasta,CL,67.28,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
382,Pandamatenga,BW,67.96,overcast clouds,-18.5278,25.627,Wildtrack Safaris Eco Lodge
386,Comodoro Rivadavia,AR,60.66,few clouds,-45.8667,-67.5,Austral Hotel
388,Hervey Bay,AU,77.04,broken clouds,-25.2986,152.8535,Shelly Bay Resort
389,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
390,Moron,AR,77.97,overcast clouds,-34.6534,-58.6198,Hotel Morón
391,Sao Filipe,CV,73.78,clear sky,14.8961,-24.4956,Hotel Xaguate
392,San Pedro,PH,76.35,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
393,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
394,Tahoua,NE,62.15,clear sky,14.8888,5.2692,Bungalows Guesthouse
395,Varzelandia,BR,70.38,light rain,-15.7014,-44.0275,Pousada Portal da Cidade
396,Guerrero Negro,MX,66.88,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
397,Ngunguru,NZ,75.16,scattered clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
399,Bubaque,GW,78.06,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
401,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
404,Dakoro,NE,60.67,clear sky,14.5106,6.765,Shagon mai liverpool
405,Sungaipenuh,ID,63.88,overcast clouds,-2.0833,101.3833,penginapan citra alam
407,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
408,Taoudenni,ML,67.53,broken clouds,22.6783,-3.9836,
411,Saint-Pierre,RE,80.24,light intensity drizzle rain,-21.3393,55.4781,Lindsey Hôtel
413,Okato,NZ,68.92,light rain,-39.2,173.8833,Goodin Country Garden
414,Pontes E Lacerda,BR,75.16,moderate rain,-15.2261,-59.3353,Hotel Bressan
415,Guanica,PR,78.15,few clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
416,High Rock,BS,77.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
417,Luanda,AO,77.0,few clouds,-8.8368,13.2343,Hotel Fórum
418,Coruripe,BR,79.52,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
419,De Aar,ZA,62.42,clear sky,-30.6497,24.0123,Nyibiba Guesthouse
420,Eyl,SO,70.27,clear sky,7.9803,49.8164,Amiin Hotel
422,Malakal,SS,76.71,scattered clouds,9.5334,31.6605,Nile Palace Hotel
428,Kudahuvadhoo,MV,81.25,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
429,Santa Fe,AR,81.01,overcast clouds,-31.6333,-60.7,Conquistador Hotel
430,Buin,CL,84.52,clear sky,-33.7333,-70.75,Paihuen
433,Manjeshwar,IN,70.75,broken clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
436,Hirara,JP,61.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
